ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
13228,5,5,"$143,000",8,40,3,0,0,40,0,2,1
13230,5,1,"$27,000",6,77,0,0,0,77,0,1,1
13231,5,3,"$86,000",7,34,1,0,1,34,0,2,1
13232,5,1,"$31,977",6,43,0,0,0,43,0,1,1
13233,5,4,"$110,000",7,44,2,1,0,44,0,4,1
13234,5,2,"$37,603",6,40,0,1,0,40,0,2,1
13248,5,4,"$150,000",8,49,2,0,0,49,1,2,1
13249,5,7,"$60,000",5,43,5,0,0,43,0,2,1
13251,5,3,"$50,580",5,58,0,0,0,52,0,3,1
13252,5,2,"$94,000",10,61,0,1,0,61,1,4,1
13256,5,2,"$55,550",8,30,0,0,0,30,0,2,1
13267,5,2,"$117,000",10,65,0,0,1,65,1,2,1
13271,5,2,"$42,860",9,68,0,0,0,68,1,2,1
13272,5,2,"$75,476",7,54,0,0,0,54,0,1,1
13283,5,4,"$27,550",3,37,2,0,0,37,1,1,1
13284,5,6,"$54,180",3,42,3,0,0,42,1,2,1
13299,5,2,"$31,000",3,48,0,0,0,48,0,2,1
13300,5,1,"$29,701",6,35,0,0,0,35,0,1,1
13308,5,1,"$50,277",3,32,0,0,0,32,1,1,0
13313,5,4,"$58,000",5,33,2,0,0,33,0,2,1
13314,5,4,"$40,000",6,36,2,0,0,29,0,1,1
13324,5,2,"$52,000",7,33,0,0,0,33,0,2,1
13327,5,2,"$35,462",9,58,0,0,0,58,0,1,S
13331,5,2,"$86,000",5,32,0,0,0,32,0,2,1
13336,5,2,"$40,000",5,56,0,1,1,56,0,4,1
13344,5,2,"$70,000",3,62,0,0,0,62,1,2,1
13355,5,1,"$200,000",9,60,0,1,0,60,0,0,1
13359,5,5,"$27,017",4,30,3,0,0,30,1,3,0
13372,5,2,"$31,000",8,23,0,0,0,23,0,2,0
13378,5,3,"$163,000",7,42,0,0,0,42,1,3,1
13383,5,4,"$47,000",5,24,2,1,0,24,0,3,1
13387,5,2,"$58,000",9,43,0,0,0,43,0,6,1
13390,5,2,"$49,000",6,51,0,0,0,51,1,2,0
13391,5,4,"$49,000",5,35,2,0,0,35,1,2,0
13393,5,5,"$65,000",7,44,2,0,0,44,0,5,1
13398,5,1,"$6,000",3,54,0,0,0,54,0,0,1
13399,5,2,"$40,451",3,58,0,0,0,58,0,1,1
13404,5,2,"$25,000",6,66,0,0,0,66,0,2,1
13405,5,1,"$4,016",6,52,0,0,0,52,0,0,1
13411,5,1,"$20,000",2,70,0,0,1,70,0,1,1
13412,5,2,"$62,000",4,59,0,0,0,59,1,2,1
13413,5,2,"$55,514",3,55,0,0,0,55,1,2,1
13415,5,3,"$360,000",6,41,1,1,0,41,1,2,1
13420,5,5,"$43,000",7,31,1,0,0,31,1,4,1
13421,5,2,"$37,500",7,52,0,0,0,52,1,2,1
13424,5,4,"$73,200",7,36,2,0,0,36,0,1,1
13428,5,3,"$70,559",7,52,0,0,0,52,0,2,1
13433,5,5,"$75,200",8,42,3,0,0,42,0,2,1
13441,5,3,"$60,000",3,37,1,0,0,37,1,2,0
13445,5,3,"$7,488",5,31,2,0,0,31,0,1,1
13449,5,2,"$45,000",3,51,0,0,0,53,0,2,1
13454,5,2,"$14,000",8,50,0,2,0,50,1,3,1
13458,5,1,"$10,800",3,79,0,0,0,79,0,1,0
13461,5,1,"$30,300",6,36,0,0,0,36,0,1,1
13468,5,5,"$33,000",3,29,3,0,0,29,1,1,0
13469,5,1,"$133,000",8,75,0,0,0,75,0,1,1
13471,5,2,"$80,000",6,26,0,0,0,26,0,2,1
13480,5,2,"$9,000",3,55,0,0,0,55,0,2,1
13496,5,6,"$37,430",4,39,4,0,0,39,1,1,0
13503,5,2,"$78,450",5,62,0,1,0,62,1,5,1
